GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Poseidon,com.nnk.springboot.controllers,LoginController,23,7,0,0,7,2,3,2,3,2
Poseidon,com.nnk.springboot.controllers,HomeController,7,7,0,0,3,2,2,2,2,2
Poseidon,com.nnk.springboot.controllers,CurveController,89,96,2,2,18,21,6,6,4,6
Poseidon,com.nnk.springboot.controllers,UserController,194,7,4,0,40,2,10,2,8,2
Poseidon,com.nnk.springboot.controllers,BidListController,112,98,2,2,20,21,6,6,4,6
Poseidon,com.nnk.springboot.controllers,DefaultController,26,7,2,0,8,2,3,2,2,2
Poseidon,com.nnk.springboot.controllers,RatingController,71,96,2,2,16,21,6,6,4,6
Poseidon,com.nnk.springboot.controllers,MyErrorController,12,7,0,0,4,2,1,2,1,2
Poseidon,com.nnk.springboot.controllers,TradeController,159,7,4,0,35,2,10,2,8,2
Poseidon,com.nnk.springboot.controllers,RuleNameController,159,7,4,0,35,2,10,2,8,2
Poseidon,com.nnk.springboot.service,RuleNameService,20,3,0,0,5,1,4,1,4,1
Poseidon,com.nnk.springboot.service,TradeService,20,3,0,0,5,1,4,1,4,1
Poseidon,com.nnk.springboot.service,MyUserDetailsService,17,3,2,0,4,1,2,1,1,1
Poseidon,com.nnk.springboot.service,RatingService,20,3,0,0,5,1,4,1,4,1
Poseidon,com.nnk.springboot.service,BidListService,25,3,0,0,6,1,5,1,5,1
Poseidon,com.nnk.springboot.service,CurvePointService,20,3,0,0,5,1,4,1,4,1
Poseidon,com.nnk.springboot.service,UserService,25,3,0,0,6,1,5,1,5,1
Poseidon,com.nnk.springboot.config,SecurityConfiguration,0,89,0,0,0,18,0,4,0,4
Poseidon,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
Poseidon,com.nnk.springboot.domain,Rating,31,23,0,0,13,10,9,3,9,3
Poseidon,com.nnk.springboot.domain,RuleName,70,3,0,0,29,2,15,1,15,1
Poseidon,com.nnk.springboot.domain,PasswordConstraintValidator,96,0,2,0,9,0,4,0,3,0
Poseidon,com.nnk.springboot.domain,BidList,147,23,0,0,63,10,42,4,42,4
Poseidon,com.nnk.springboot.domain,Trade,156,3,0,0,67,2,43,1,43,1
Poseidon,com.nnk.springboot.domain,User,53,3,0,0,22,2,11,1,11,1
Poseidon,com.nnk.springboot.domain,CurvePoint,34,26,0,0,14,11,10,4,10,4
Poseidon,com.nnk.springboot.domain,MyUserDetails,49,0,0,0,15,0,12,0,12,0
